Trait,Variable,count,missing,mean,sem,95% CI low,95% CI high,std,median,IQR,min,max,skewness,kurtosis
age,Age,99.0,0,29.909,0.422,29.072,30.747,4.199,29.0,5.5,23.0,43.0,0.7,0.049
PHQ-9 depression score,PHQ9_Total,99.0,0,4.388,0.427,3.54,5.235,4.248,3.0,6.0,0.0,17.0,1.05,0.333
GAD-7 anxiety score,GAD7_Total,99.0,0,4.212,0.423,3.373,5.051,4.207,3.0,5.0,0.0,17.0,1.158,0.674
second victim emotional impact,SV_Emotional_Total,99.0,0,2.748,0.084,2.582,2.914,0.831,2.778,1.188,1.0,4.333,-0.223,-0.687
peer support,Peer_Support_Total,99.0,0,3.884,0.05,3.785,3.983,0.498,4.0,0.75,2.5,5.0,-0.481,0.552
supervisor support,Supervisor_Support_Total,99.0,0,3.897,0.065,3.768,4.027,0.648,4.0,0.75,2.0,5.0,-0.704,0.644
organisational support,Org_Support_Total,99.0,0,3.145,0.089,2.968,3.321,0.886,3.0,1.167,1.0,5.0,0.168,-0.249
performance impact,Performance_Impact_Total,99.0,0,2.364,0.083,2.199,2.528,0.825,2.5,0.75,1.0,5.0,0.561,0.539
intention to leave,Intent_Leave_Total,99.0,0,1.821,0.083,1.656,1.986,0.828,1.75,1.0,1.0,4.75,1.222,1.691
work withdrawal / mental-health-day impact,Work_Withdrawal_Total,99.0,0,2.219,0.086,2.048,2.39,0.856,2.0,1.0,1.0,5.0,0.919,0.625
professional growth,Professional_Growth_Total,99.0,0,4.056,0.066,3.924,4.187,0.661,4.0,0.5,1.0,5.0,-1.858,5.712
support resource need,Resource_Need_Total,99.0,0,3.361,0.073,3.217,3.506,0.723,3.286,1.143,1.0,5.0,-0.102,0.233
burnout,Burnout_Total,99.0,0,2.851,0.051,2.75,2.953,0.51,2.812,0.688,1.625,4.312,0.044,0.251
